SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
2,1,16,3.1,318,375,1,4,3,1,3.5,51.5,0.72,2.6,8.92,5.6
2,2,16.8,3.8,287,361,2,3,1,2,3.5,37,1.29,1.54,11.22,7.39
1,3,16,2.4,325,375,3,3,3,2,2.5,27.2,2.17,2.52,8.19,3.2
2,2,17.7,3.8,439,371,1,4,1,1,2.7,40.9,0.89,1.14,7.35,5.1
2,1,14.7,4.15,401,321,3,3,2,1,3.3,46.9,0.97,1.41,7.21,4.75
1,1,12.8,3.2,460,368,2,3,2,1,3,36.2,0.66,1.42,9.01,5
1,2,16.1,2.45,368,355,2,3,2,1,3,34.2,1.34,1.83,8.27,4.4
2,1,19.7,4.4,328,368,3,4,1,1,4,54.4,1.02,1.07,12.31,5.6
2,2,16.1,2,299,373,1,2,3,1,3.5,51.7,1.8,2.54,8.43,4
2,2,19.3,5.4,463,368,2,2,2,0,3.5,43,0.66,1.42,9.01,5.6
1,2,15.8,3,317,414,4,4,3,2,2.3,28.5,1.59,1.09,8.54,6.4
2,1,14.2,2,371,273,1,2,2,0,2.5,27,0.96,1.18,6.14,3.5
2,2,18,4.29,316,365,1,2,4,0,3.5,48.9,1.9,2.2,10.06,6.3438
2,1,19.5,3,397,278,3,2,2,1,3.5,51.3,0.93,1.58,6.04,2.9
2,1,20.7,2.1,328,361,5,4,1,0,3,30.6,2.15,2.23,8.8,3.6
2,1,19.6,5.8,413,359,1,1,1,1,2.5,61.8,1.91,1.57,9.96,4.7
2,2,16.5,4.1,462,366,2,5,1,1,2.5,48.7,1.49,0.84,8.76,3.8
2,1,16.9,3.8,335,348,2,3,3,0,3.5,39,1.42,1.05,11.78,6.5
2,1,17.2,2.2,320,375,1,4,3,1,4,59.5,0.72,2.6,8.92,4.6
2,1,23.6,2.2,327,361,1,3,1,0,3,30,2.15,2.23,8.8,3.1
2,2,14.7,3.3,326,349,3,2,4,0,2,21.3,1.18,1.52,10.82,5.927
2,1,16.3,4.5,331,374,3,3,4,1,3.5,48.3,1.51,1.63,11.56,7
2,2,20.6,3.9,333,374,1,4,3,0,2.5,39.7,1.51,1.63,11.56,5.5
1,1,16,3.6,303,388,1,5,4,2,3.5,33.6,1.02,0.84,11.96,10.6
2,2,19.3,4.9,462,368,2,2,1,0,3,44,0.66,1.42,9.01,4.1
2,2,15.6,2.8,351,346,2,4,1,1,3.5,49.1,1.32,1.84,8.56,4.35
2,2,25.9,4.1,422,372,1,1,1,1,3,52.8,1.89,1.22,9.11,3.9
2,2,14.6,1.5,322,360,1,4,2,1,3,20.2,0.96,2.13,9.32,3
2,4,17.9,2.88,283,353,2,3,3,1,3,34,1.05,1.7,11.9,7.63
2,1,20.5,2.8,375,274,2,3,1,2,4,61.1,0.93,1.58,6.15,3
2,1,16,3.39,321,366,1,5,3,1,3,28.1,0.99,1.07,10.15,5.49
2,1,15.9,2.75,324,366,1,5,4,1,3,30.5,0.99,1.07,10.15,4.98
2,1,17.1,5.3,297,370,2,4,2,1,3.3,46.9,1.68,2.17,13.4,8
1,2,17.5,4.1,462,368,1,3,2,1,2.5,42.2,0.66,1.42,9.01,6.3
2,2,15.5,3.7,466,371,1,4,2,0,2.5,41.2,0.72,1.49,9.77,5
2,1,16.5,4.4,302,388,2,4,3,1,3,35.6,1.02,0.84,11.96,9
2,2,26.5,4.1,423,372,1,1,1,2,3,51.4,1.89,1.22,9.11,3.8
2,1,25,2.8,378,274,1,2,1,1,3.5,49.1,0.93,1.58,6.15,2.9
2,1,17.6,4.2,417,359,2,2,3,1,2.5,48.6,1.91,1.57,9.96,3.6
2,1,23.2,4.9,406,321,1,3,1,1,3.5,48.9,0.97,1.41,7.21,4.1
2,1,14.6,2.1,372,279,2,3,2,1,3,43.3,0.93,1.58,6.09,2.9
2,3,16.3,3,329,367,2,4,2,0,3.5,41.6,1.02,1.07,12.31,6.7
